Company,Keynetix,DLR23099
Channel No.,5,Keynetix
No. of Readings,66,BH369
Units,,1.8
Transducer S/No.,,
transducer Name,,
Time,06:59:39,
Date,24/12/18,
Time Base,SQR RT,
-----,-----,
Elapsed Time,Reading,
0,-0.004,
0.1,-0.004,
0.2,-0.008,
0.3,-0.013,
0.4,-0.017,
0.5,-0.02,
0.6,-0.02,
0.7,-0.021,
0.8,-0.021,
0.9,-0.021,
1,-0.022,
1.2,-0.022,
1.4,-0.022,
1.6,-0.022,
1.8,-0.022,
2,-0.022,
2.5,-0.022,
3,-0.022,
4,-0.022,
5,-0.023,
11,-0.023,
23,-0.023,
29,-0.023,
35,-0.023,
41,-0.024,
47,-0.024,
53,-0.024,
59,-0.024,
65,-0.024,
95,-0.024,
143,-0.024,
245,-0.025,
383,-0.025,
545,-0.026,
743,-0.026,
965,-0.026,
1505,-0.027,
2165,-0.027,
2945,-0.027,
3845,-0.027,
4865,-0.027,
6005,-0.027,
7265,-0.027,
8645,-0.027,
10145,-0.028,
11765,-0.027,
15365,-0.028,
18965,-0.028,
22565,-0.028,
26165,-0.028,
29765,-0.028,
33365,-0.028,
36965,-0.028,
40565,-0.028,
44165,-0.028,
47765,-0.028,
51365,-0.028,
54965,-0.028,
58565,-0.028,
62165,-0.028,
65765,-0.028,
69365,-0.028,
72965,-0.028,
76565,-0.028,
80165,-0.028,
83765,-0.028,
